Date,Open,High,Low,Close,Volume,Adj Close
03/01/2000,-0.179878046,-0.179547967,-0.216632114,-0.203960712,-1.429661789,-0.203960712
04/01/2000,-0.203839818,-0.218398169,-0.286640125,-0.299238904,-1.378210625,-0.299238904
05/01/2000,-0.299140056,-0.289941716,-0.320421228,-0.294645838,-1.327225988,-0.294645838
06/01/2000,-0.294545927,-0.292278175,-0.295756881,-0.292357851,-1.32269402,-0.292357851
07/01/2000,-0.29225741,-0.241848108,-0.280995813,-0.227438792,-1.234120709,-0.227438792
08/01/2000,-0.29225741,-0.241848108,-0.280995813,-0.227438792,-1.234120709,-0.227438792
09/01/2000,-0.29225741,-0.241848108,-0.280995813,-0.227438792,-1.234120709,-0.227438792
10/01/2000,-0.22732333,-0.202810331,-0.211312684,-0.199896861,-1.341021831,-0.199896861
11/01/2000,-0.199775027,-0.212531313,-0.22337113,-0.232407457,-1.374878296,-0.232407457
12/01/2000,-0.232293145,-0.239920941,-0.235925877,-0.243181861,-1.401137051,-0.243181861
13/01/2000,-0.243070043,-0.220137762,-0.22708285,-0.213420102,-1.363948256,-0.213420102
14/01/2000,-0.213301397,-0.188075217,-0.197269866,-0.187005177,-1.326959402,-0.187005177
15/01/2000,-0.213301397,-0.188075217,-0.197269866,-0.187005177,-1.326959402,-0.187005177
16/01/2000,-0.213301397,-0.188075217,-0.197269866,-0.187005177,-1.326959402,-0.187005177
17/01/2000,-0.213301397,-0.188075217,-0.197269866,-0.187005177,-1.326959402,-0.187005177
18/01/2000,-0.18688036,-0.201462958,-0.194498968,-0.204097236,-1.346420204,-0.204097236
19/01/2000,-0.203976374,-0.207875467,-0.198980301,-0.202799522,-1.325693116,-0.202799522
20/01/2000,-0.20267836,-0.200508015,-0.216324143,-0.220438097,-1.317095707,-0.220438097
21/01/2000,-0.220321015,-0.221877146,-0.21451119,-0.227626591,-1.244384283,-0.227626591
22/01/2000,-0.220321015,-0.221877146,-0.21451119,-0.227626591,-1.244384283,-0.227626591
23/01/2000,-0.220321015,-0.221877146,-0.21451119,-0.227626591,-1.244384283,-0.227626591
24/01/2000,-0.227511173,-0.220325336,-0.290078118,-0.295636111,-1.307032073,-0.295636111
25/01/2000,-0.295536429,-0.288253337,-0.301931528,-0.281122389,-1.335090285,-0.281122389
26/01/2000,-0.281019349,-0.290862726,-0.28197067,-0.291265028,-1.306032374,-0.291265028
27/01/2000,-0.291164334,-0.280408309,-0.331864151,-0.300707326,-1.297901491,-0.300707326
28/01/2000,-0.300608818,-0.31502882,-0.35716156,-0.366275242,-1.32036139,-0.366275242
29/01/2000,-0.300608818,-0.31502882,-0.35716156,-0.366275242,-1.32036139,-0.366275242
30/01/2000,-0.300608818,-0.31502882,-0.35716156,-0.366275242,-1.32036139,-0.366275242
31/01/2000,-0.366191905,-0.32198719,-0.367526691,-0.307708229,-1.388340906,-0.307708229
01/02/2000,-0.307611341,-0.291272017,-0.308260056,-0.282403011,-1.396871669,-0.282403011
02/02/2000,-0.282300267,-0.277423771,-0.276274994,-0.282676269,-1.358483236,-0.282676269
03/02/2000,-0.282573588,-0.268606519,-0.284775809,-0.255612488,-1.286571571,-0.255612488
04/02/2000,-0.255503545,-0.251330302,-0.246958103,-0.256636944,-1.354151208,-0.256636944
05/02/2000,-0.255503545,-0.251330302,-0.246958103,-0.256636944,-1.354151208,-0.256636944
06/02/2000,-0.255503545,-0.251330302,-0.246958103,-0.256636944,-1.354151208,-0.256636944
07/02/2000,-0.256528238,-0.266270061,-0.259444367,-0.256858927,-1.438792371,-0.256858927
08/02/2000,-0.256750273,-0.241234171,-0.240783456,-0.227011917,-1.352418397,-0.227011917
09/02/2000,-0.226896357,-0.236595188,-0.262317781,-0.278253911,-1.350552293,-0.278253911
10/02/2000,-0.278167303,-0.274882667,-0.271246205,-0.269511536,-1.345020626,-0.269511536
11/02/2000,-0.269405809,-0.283870422,-0.318351668,-0.320241197,-1.367080646,-0.320241197
12/02/2000,-0.269405809,-0.283870422,-0.318351668,-0.320241197,-1.367080646,-0.320241197
13/02/2000,-0.269405809,-0.283870422,-0.318351668,-0.320241197,-1.367080646,-0.320241197
14/02/2000,-0.320147208,-0.321219612,-0.315546529,-0.315426148,-1.432660885,-0.315426148
15/02/2000,-0.315331045,-0.299407047,-0.322867243,-0.294748179,-1.322827313,-0.294748179
16/02/2000,-0.294648292,-0.304813191,-0.306908954,-0.31930199,-1.37167926,-0.31930199
17/02/2000,-0.319207784,-0.312777718,-0.316333471,-0.318294626,-1.361015807,-0.318294626
18/02/2000,-0.318200187,-0.332032316,-0.375771108,-0.390299838,-1.356017313,-0.390299838
19/02/2000,-0.318200187,-0.332032316,-0.375771108,-0.390299838,-1.356017313,-0.390299838
20/02/2000,-0.318200187,-0.332032316,-0.375771108,-0.390299838,-1.356017313,-0.390299838
21/02/2000,-0.318200187,-0.332032316,-0.375771108,-0.390299838,-1.356017313,-0.390299838
22/02/2000,-0.390222059,-0.3840144,-0.398759262,-0.379918124,-1.397538135,-0.379918124
23/02/2000,-0.379837944,-0.363549,-0.380697171,-0.365370427,-1.388407553,-0.365370427
24/02/2000,-0.365286881,-0.372604831,-0.402180133,-0.377766662,-1.24091866,-0.377766662
25/02/2000,-0.377685983,-0.377141387,-0.403428718,-0.412036238,-1.340755245,-0.412036238
