,Date,High,Low,Open,Close,Volume,Adj Close
0,2000-01-03,1478.0,1438.3599853515625,1469.25,1455.219970703125,931800000.0,1455.219970703125
1,2000-01-04,1455.219970703125,1397.4300537109375,1455.219970703125,1399.4200439453125,1009000000.0,1399.4200439453125
2,2000-01-05,1413.27001953125,1377.6800537109375,1399.4200439453125,1402.1099853515625,1085500000.0,1402.1099853515625
3,2000-01-06,1411.9000244140625,1392.0999755859375,1402.1099853515625,1403.449951171875,1092300000.0,1403.449951171875
4,2000-01-07,1441.469970703125,1400.72998046875,1403.449951171875,1441.469970703125,1225200000.0,1441.469970703125
5,2000-01-08,1441.469970703125,1400.72998046875,1403.449951171875,1441.469970703125,1225200000.0,1441.469970703125
6,2000-01-09,1441.469970703125,1400.72998046875,1403.449951171875,1441.469970703125,1225200000.0,1441.469970703125
7,2000-01-10,1464.3599853515625,1441.469970703125,1441.469970703125,1457.5999755859375,1064800000.0,1457.5999755859375
8,2000-01-11,1458.6600341796875,1434.4200439453125,1457.5999755859375,1438.56005859375,1014000000.0,1438.56005859375
9,2000-01-12,1442.5999755859375,1427.0799560546875,1438.56005859375,1432.25,974600000.0,1432.25
10,2000-01-13,1454.199951171875,1432.25,1432.25,1449.6800537109375,1030400000.0,1449.6800537109375
11,2000-01-14,1473.0,1449.6800537109375,1449.6800537109375,1465.1500244140625,1085900000.0,1465.1500244140625
12,2000-01-15,1473.0,1449.6800537109375,1449.6800537109375,1465.1500244140625,1085900000.0,1465.1500244140625
13,2000-01-16,1473.0,1449.6800537109375,1449.6800537109375,1465.1500244140625,1085900000.0,1465.1500244140625
14,2000-01-17,1473.0,1449.6800537109375,1449.6800537109375,1465.1500244140625,1085900000.0,1465.1500244140625
15,2000-01-18,1465.1500244140625,1451.300048828125,1465.1500244140625,1455.1400146484375,1056700000.0,1455.1400146484375
16,2000-01-19,1461.3900146484375,1448.6800537109375,1455.1400146484375,1455.9000244140625,1087800000.0,1455.9000244140625
17,2000-01-20,1465.7099609375,1438.5400390625,1455.9000244140625,1445.5699462890625,1100700000.0,1445.5699462890625
18,2000-01-21,1453.1800537109375,1439.5999755859375,1445.5699462890625,1441.3599853515625,1209800000.0,1441.3599853515625
19,2000-01-22,1453.1800537109375,1439.5999755859375,1445.5699462890625,1441.3599853515625,1209800000.0,1441.3599853515625
20,2000-01-23,1453.1800537109375,1439.5999755859375,1445.5699462890625,1441.3599853515625,1209800000.0,1441.3599853515625
21,2000-01-24,1454.0899658203125,1395.4200439453125,1441.3599853515625,1401.530029296875,1115800000.0,1401.530029296875
22,2000-01-25,1414.260009765625,1388.489990234375,1401.530029296875,1410.030029296875,1073700000.0,1410.030029296875
23,2000-01-26,1412.72998046875,1400.1600341796875,1410.030029296875,1404.0899658203125,1117300000.0,1404.0899658203125
24,2000-01-27,1418.8599853515625,1370.989990234375,1404.0899658203125,1398.56005859375,1129500000.0,1398.56005859375
25,2000-01-28,1398.56005859375,1356.199951171875,1398.56005859375,1360.1600341796875,1095800000.0,1360.1600341796875
26,2000-01-29,1398.56005859375,1356.199951171875,1398.56005859375,1360.1600341796875,1095800000.0,1360.1600341796875
27,2000-01-30,1398.56005859375,1356.199951171875,1398.56005859375,1360.1600341796875,1095800000.0,1360.1600341796875
28,2000-01-31,1394.47998046875,1350.1400146484375,1360.1600341796875,1394.4599609375,993800000.0,1394.4599609375
29,2000-02-01,1412.489990234375,1384.7900390625,1394.4599609375,1409.280029296875,981000000.0,1409.280029296875
30,2000-02-02,1420.6099853515625,1403.489990234375,1409.280029296875,1409.1199951171875,1038600000.0,1409.1199951171875
31,2000-02-03,1425.780029296875,1398.52001953125,1409.1199951171875,1424.969970703125,1146500000.0,1424.969970703125
